Day,Date,Albula_Lencha sim,Albula_Lencha data,Albula_Lencha error,Andido sim,Andido data,Andido error,Anshokala_Hiro sim,Anshokala_Hiro data,Anshokala_Hiro error,Budul sim,Budul data,Budul error,Bundada_Flash_Flood sim,Bundada_Flash_Flood data,Bundada_Flash_Flood error,Bur_Dheedi sim,Bur_Dheedi data,Bur_Dheedi error,Bur_Gaabo sim,Bur_Gaabo data,Bur_Gaabo error,Bur-Shakadi sim,Bur-Shakadi data,Bur-Shakadi error,Ceca sim,Ceca data,Ceca error,Chefa_Keransa sim,Chefa_Keransa data,Chefa_Keransa error,China_Camp sim,China_Camp data,China_Camp error,Chiticha_Kuntufa sim,Chiticha_Kuntufa data,Chiticha_Kuntufa error,Daba_Katuur sim,Daba_Katuur data,Daba_Katuur error,Damerey sim,Damerey data,Damerey error,Danyere sim,Danyere data,Danyere error,Dattdamum sim,Dattdamum data,Dattdamum error,Dharkaynwayd sim,Dharkaynwayd data,Dharkaynwayd error,Dudi_Dero sim,Dudi_Dero data,Dudi_Dero error,East_Imi_Town sim,East_Imi_Town data,East_Imi_Town error,Eeba sim,Eeba data,Eeba error,Eyole sim,Eyole data,Eyole error,Fandde_Ejersa sim,Fandde_Ejersa data,Fandde_Ejersa error,Furfursa sim,Furfursa data,Furfursa error,Gabi_Kebele sim,Gabi_Kebele data,Gabi_Kebele error,Gabulle sim,Gabulle data,Gabulle error,Gambadh_Ugaas sim,Gambadh_Ugaas data,Gambadh_Ugaas error,Gan sim,Gan data,Gan error,Garab-Jabiye sim,Garab-Jabiye data,Garab-Jabiye error,Gashantimo sim,Gashantimo data,Gashantimo error,Gelcha sim,Gelcha data,Gelcha error,Haarcad sim,Haarcad data,Haarcad error,Hassoba sim,Hassoba data,Hassoba error,Hilo-Nagod sim,Hilo-Nagod data,Hilo-Nagod error,Hobane_Laman sim,Hobane_Laman data,Hobane_Laman error,Jiban-Jible sim,Jiban-Jible data,Jiban-Jible error,Kabhanle sim,Kabhanle data,Kabhanle error,Kaboobe sim,Kaboobe data,Kaboobe error,Kada_Hurunto sim,Kada_Hurunto data,Kada_Hurunto error,Kebele sim,Kebele data,Kebele error,Korbeti sim,Korbeti data,Korbeti error,Kuachthiang sim,Kuachthiang data,Kuachthiang error,Kuerliey_Flood sim,Kuerliey_Flood data,Kuerliey_Flood error,Kullo sim,Kullo data,Kullo error,Leitchour_Flood sim,Leitchour_Flood data,Leitchour_Flood error,Libahle sim,Libahle data,Libahle error,Lo_Dabal sim,Lo_Dabal data,Lo_Dabal error,Mender_Simint sim,Mender_Simint data,Mender_Simint error,Methar_Health_Center sim,Methar_Health_Center data,Methar_Health_Center error,Mirdhis sim,Mirdhis data,Mirdhis error,Mustahil sim,Mustahil data,Mustahil error,Oda_Nagele sim,Oda_Nagele data,Oda_Nagele error,Pajung_Village_Flood sim,Pajung_Village_Flood data,Pajung_Village_Flood error,Qudhac_Dher sim,Qudhac_Dher data,Qudhac_Dher error,Qudhacle sim,Qudhacle data,Qudhacle error,Raranle sim,Raranle data,Raranle error,Sade_Guge sim,Sade_Guge data,Sade_Guge error,Sadeti sim,Sadeti data,Sadeti error,Sanbate_Shalla sim,Sanbate_Shalla data,Sanbate_Shalla error,Saw_Halayto sim,Saw_Halayto data,Saw_Halayto error,Sediha_Holhol sim,Sediha_Holhol data,Sediha_Holhol error,Segento sim,Segento data,Segento error,Siigo-Dher sim,Siigo-Dher data,Siigo-Dher error,Waladaya_Gabare sim,Waladaya_Gabare data,Waladaya_Gabare error,Xidigta sim,Xidigta data,Xidigta error,Yahol_And_Gilo sim,Yahol_And_Gilo data,Yahol_And_Gilo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
10,2019-10-11,1364,0,0.0,55,8,5.875,1428,0,0.0,127,3,41.3333,98,10,8.8,64,6,9.6667,68,2,33.0,26,1,25.0,306,31,8.871,1475,0,0.0,750,10,74.0,1363,1,1362.0,49,13,2.7692,20,2,9.0,125,1,124.0,22,2,10.0,30,1,29.0,339,4,83.75,895,4,222.75,714,6,118.0,89,4,21.25,1515,1,1514.0,341,3,112.6667,0,10,1.0,66,4,15.5,27,0,0.0,40,5,7.0,19,2,8.5,42,3,13.0,23,2,10.5,37,0,0.0,33,7,3.7143,26,2,12.0,1360,0,0.0,775,2,386.5,816,8,101.0,89,0,0.0,11,1,10.0,422,10,41.2,1414,0,0.0,460,2,229.0,505,3,167.3333,236,1,235.0,445,12,36.0833,778,2,388.0,32,3,9.6667,21,5,3.2,405,1,404.0,120,9,12.3333,0,90,1.0,293,4,72.25,388,1,387.0,32,9,2.5556,810,0,0.0,26,1,25.0,1438,1,1437.0,0,4,1.0,1460,1,1459.0,69,3,22.0,35,1,34.0,100,6,15.6667,833,1,832.0,648,8,80.0,844,1,843.0,419,6,68.8333,0.0,0,255635,0,26860,0
11,2019-10-12,1363,0,0.0,55,9,5.1111,1425,0,0.0,127,4,30.75,98,11,7.9091,64,6,9.6667,68,3,21.6667,26,2,12.0,306,34,8.0,1472,1,1471.0,750,11,67.1818,1363,1,1362.0,49,14,2.5,20,2,9.0,125,1,124.0,22,3,6.3333,30,1,29.0,339,4,83.75,893,5,177.6,713,7,100.8571,88,5,16.6,1515,1,1514.0,341,3,112.6667,0,11,1.0,65,5,12.0,27,1,26.0,40,6,5.6667,19,2,8.5,42,3,13.0,23,2,10.5,37,0,0.0,33,8,3.125,26,3,7.6667,1359,0,0.0,774,2,386.0,814,9,89.4444,89,0,0.0,11,1,10.0,422,11,37.3636,1410,0,0.0,460,2,229.0,505,4,125.25,236,1,235.0,445,13,33.2308,778,2,388.0,32,3,9.6667,21,6,2.5,404,1,403.0,120,10,11.0,309,100,2.09,293,5,57.6,388,1,387.0,32,10,2.2,809,0,0.0,26,1,25.0,1438,1,1437.0,0,4,1.0,1459,1,1458.0,69,3,22.0,35,1,34.0,100,6,15.6667,833,1,832.0,648,9,71.0,844,1,843.0,419,6,68.8333,0.0,0,268605,0,27146,0
12,2019-10-13,1362,0,0.0,55,10,4.5,1423,0,0.0,127,4,30.75,97,12,7.0833,64,7,8.1429,68,3,21.6667,26,2,12.0,306,38,7.0526,1471,1,1470.0,749,12,61.4167,1360,1,1359.0,49,16,2.0625,20,3,5.6667,125,1,124.0,22,3,6.3333,30,1,29.0,339,4,83.75,892,5,177.4,713,8,88.125,88,5,16.6,1515,1,1514.0,341,3,112.6667,0,12,1.0,65,5,12.0,27,1,26.0,40,6,5.6667,19,2,8.5,42,3,13.0,23,2,10.5,37,1,36.0,33,8,3.125,26,3,7.6667,1357,0,0.0,774,3,257.0,813,10,80.3,89,1,88.0,11,1,10.0,422,12,34.1667,1407,1,1406.0,459,3,152.0,504,4,125.0,235,1,234.0,445,14,30.7857,778,3,258.3333,32,3,9.6667,21,7,2.0,404,1,403.0,120,11,9.9091,369,109,2.3853,292,5,57.4,387,1,386.0,32,11,1.9091,808,0,0.0,26,1,25.0,1437,1,1436.0,0,4,1.0,1457,1,1456.0,69,4,16.25,35,1,34.0,100,7,13.2857,833,1,832.0,647,10,63.7,844,1,843.0,419,7,58.8571,0.0,0,281942,0,27180,0
13,2019-10-14,1362,0,0.0,55,11,4.0,1421,0,0.0,127,5,24.4,97,13,6.4615,64,7,8.1429,68,3,21.6667,26,2,12.0,304,41,6.4146,1471,1,1470.0,748,13,56.5385,1360,1,1359.0,49,17,1.8824,20,3,5.6667,125,1,124.0,22,3,6.3333,30,1,29.0,339,5,66.8,892,6,147.6667,712,8,88.0,88,6,13.6667,1515,1,1514.0,340,4,84.0,0,13,1.0,65,6,9.8333,27,1,26.0,40,7,4.7143,19,2,8.5,42,4,9.5,23,3,6.6667,37,1,36.0,33,9,2.6667,26,3,7.6667,1356,0,0.0,774,3,257.0,812,11,72.8182,88,1,87.0,11,2,4.5,422,13,31.4615,1406,1,1405.0,458,3,151.6667,504,5,99.8,235,1,234.0,444,16,26.75,776,3,257.6667,32,4,7.0,21,7,2.0,404,1,403.0,120,12,9.0,465,118,2.9407,291,6,47.5,387,2,192.5,32,11,1.9091,807,0,0.0,26,1,25.0,1437,1,1436.0,0,5,1.0,1454,1,1453.0,69,4,16.25,35,2,16.5,100,8,11.5,832,1,831.0,646,11,57.7273,844,1,843.0,419,7,58.8571,0.0,0,295279,0,27254,0
14,2019-10-15,1360,0,0.0,55,12,3.5833,1420,0,0.0,127,5,24.4,96,14,5.8571,64,8,7.0,68,3,21.6667,26,2,12.0,304,44,5.9091,1471,1,1470.0,747,14,52.3571,1359,1,1358.0,49,18,1.7222,20,3,5.6667,125,1,124.0,22,3,6.3333,30,1,29.0,339,5,66.8,891,6,147.5,711,9,78.0,88,6,13.6667,1515,1,1514.0,338,4,83.5,0,14,1.0,65,6,9.8333,27,1,26.0,40,8,4.0,19,3,5.3333,42,4,9.5,23,3,6.6667,37,1,36.0,33,10,2.3,26,4,5.5,1356,0,0.0,773,3,256.6667,812,11,72.8182,88,1,87.0,11,2,4.5,420,14,29.0,1405,1,1404.0,455,3,150.6667,504,5,99.8,235,1,234.0,443,17,25.0588,776,3,257.6667,32,4,7.0,21,8,1.625,403,1,402.0,119,13,8.1538,511,127,3.0236,291,6,47.5,387,2,192.5,32,12,1.6667,806,0,0.0,26,1,25.0,1437,1,1436.0,0,5,1.0,1454,1,1453.0,69,4,16.25,35,2,16.5,100,8,11.5,830,2,414.0,646,12,52.8333,841,1,840.0,418,8,51.25,0.0,0,308616,0,27273,0
15,2019-10-16,1358,0,0.0,55,13,3.2308,1420,0,0.0,127,5,24.4,96,15,5.4,64,9,6.1111,68,4,16.0,26,2,12.0,304,47,5.4681,1469,1,1468.0,747,15,48.8,1358,1,1357.0,49,20,1.45,20,3,5.6667,125,1,124.0,21,4,4.25,30,1,29.0,339,6,55.5,889,7,126.0,711,10,70.1,88,7,11.5714,1514,1,1513.0,338,4,83.5,0,15,1.0,65,7,8.2857,27,1,26.0,40,8,4.0,19,3,5.3333,42,4,9.5,23,3,6.6667,37,1,36.0,33,11,2.0,26,4,5.5,1354,1,1353.0,771,4,191.75,811,12,66.5833,88,1,87.0,11,2,4.5,420,15,27.0,1404,1,1403.0,455,3,150.6667,503,5,99.6,235,1,234.0,442,18,23.5556,775,4,192.75,32,4,7.0,21,8,1.625,403,1,402.0,119,14,7.5,524,136,2.8529,290,7,40.4286,385,2,191.5,32,13,1.4615,806,1,805.0,25,1,24.0,1436,1,1435.0,0,6,1.0,1453,1,1452.0,68,5,12.6,35,2,16.5,100,9,10.1111,830,2,414.0,646,12,52.8333,841,2,419.5,418,9,45.4444,0.0,0,321953,0,27261,0
16,2019-10-17,1357,1,1356.0,55,14,2.9286,1418,0,0.0,127,6,20.1667,96,16,5.0,64,9,6.1111,68,4,16.0,26,2,12.0,304,50,5.08,1469,1,1468.0,747,16,45.6875,1358,1,1357.0,49,21,1.3333,20,4,4.0,125,2,61.5,21,4,4.25,30,1,29.0,339,6,55.5,889,7,126.0,711,10,70.1,88,7,11.5714,1513,1,1512.0,336,5,66.2,0,16,1.0,65,7,8.2857,27,1,26.0,40,9,3.4444,19,3,5.3333,42,5,7.4,23,3,6.6667,37,1,36.0,33,11,2.0,26,4,5.5,1354,1,1353.0,770,4,191.5,809,13,61.2308,88,1,87.0,11,2,4.5,420,16,25.25,1403,1,1402.0,455,4,112.75,503,6,82.8333,235,1,234.0,442,19,22.2632,775,4,192.75,32,5,5.4,21,9,1.3333,402,1,401.0,119,15,6.9333,532,145,2.669,290,7,40.4286,385,2,191.5,32,14,1.2857,804,1,803.0,25,1,24.0,1436,1,1435.0,0,6,1.0,1450,1,1449.0,68,5,12.6,35,2,16.5,100,10,9.0,829,2,413.5,645,13,48.6154,841,2,419.5,418,9,45.4444,0.0,0,335290,0,27251,0
17,2019-10-18,1357,1,1356.0,55,15,2.6667,1418,0,0.0,127,6,20.1667,96,17,4.6471,64,10,5.4,68,4,16.0,26,3,7.6667,304,53,4.7358,1469,1,1468.0,746,17,42.8824,1355,2,676.5,49,22,1.2273,20,4,4.0,125,2,61.5,21,4,4.25,30,1,29.0,339,7,47.4286,888,8,110.0,711,11,63.6364,88,8,10.0,1509,1,1508.0,336,5,66.2,0,18,1.0,65,8,7.125,27,1,26.0,40,9,3.4444,19,3,5.3333,42,5,7.4,23,4,4.75,37,1,36.0,33,12,1.75,26,4,5.5,1352,1,1351.0,770,4,191.5,809,14,56.7857,88,1,87.0,11,2,4.5,420,17,23.7059,1402,1,1401.0,455,4,112.75,502,6,82.6667,235,2,116.5,441,21,20.0,774,4,192.5,32,5,5.4,21,9,1.3333,402,2,200.0,119,16,6.4375,572,154,2.7143,290,8,35.25,385,2,191.5,32,15,1.1333,804,1,803.0,25,2,11.5,1433,1,1432.0,0,6,1.0,1449,1,1448.0,68,5,12.6,34,2,16.0,100,10,9.0,829,2,413.5,644,14,45.0,840,2,419.0,417,10,40.7,0.0,0,348627,0,27268,0
18,2019-10-19,1357,1,1356.0,55,16,2.4375,1417,0,0.0,127,7,17.1429,96,18,4.3333,64,10,5.4,68,5,12.6,26,3,7.6667,304,57,4.3333,1469,1,1468.0,745,18,40.3889,1353,2,675.5,49,24,1.0417,20,4,4.0,125,2,61.5,21,5,3.2,30,1,29.0,339,7,47.4286,888,8,110.0,709,12,58.0833,88,8,10.0,1508,1,1507.0,336,5,66.2,0,19,1.0,65,8,7.125,27,1,26.0,40,10,3.0,19,3,5.3333,42,5,7.4,23,4,4.75,37,1,36.0,33,13,1.5385,26,5,4.2,1351,1,1350.0,766,4,190.5,805,15,52.6667,88,1,87.0,11,2,4.5,420,18,22.3333,1399,1,1398.0,455,4,112.75,502,7,70.7143,234,2,116.0,441,22,19.0455,774,4,192.5,32,5,5.4,21,10,1.1,402,2,200.0,119,17,6.0,594,163,2.6442,290,8,35.25,384,2,191.0,32,16,1.0,803,1,802.0,25,2,11.5,1433,2,715.5,0,7,1.0,1447,1,1446.0,68,6,10.3333,34,2,16.0,100,11,8.0909,828,2,413.0,644,15,41.9333,840,2,419.0,417,10,40.7,0.0,0,361964,0,27265,0
19,2019-10-20,1356,1,1355.0,55,17,2.2353,1416,0,0.0,127,7,17.1429,96,19,4.0526,64,11,4.8182,68,5,12.6,26,3,7.6667,304,60,4.0667,1468,1,1467.0,742,19,38.0526,1351,2,674.5,49,25,0.96,20,4,4.0,125,2,61.5,21,5,3.2,30,1,29.0,339,7,47.4286,887,9,97.5556,708,12,58.0,87,9,8.6667,1507,2,752.5,336,6,55.0,0,20,1.0,65,9,6.2222,27,1,26.0,40,11,2.6364,19,4,3.75,42,5,7.4,23,4,4.75,37,1,36.0,33,14,1.3571,26,5,4.2,1350,1,1349.0,765,5,152.0,804,16,49.25,88,1,87.0,11,3,2.6667,418,19,21.0,1397,1,1396.0,455,4,112.75,502,7,70.7143,233,2,115.5,441,23,18.1739,772,5,153.4,32,6,4.3333,21,11,0.9091,402,2,200.0,119,17,6.0,2415,172,13.0407,290,9,31.2222,384,3,127.0,32,17,0.8824,802,1,801.0,25,2,11.5,1432,2,715.0,0,7,1.0,1445,2,721.5,68,6,10.3333,34,3,10.3333,100,11,8.0909,827,2,412.5,642,16,39.125,839,2,418.5,417,11,36.9091,0.0,0,373992,0,29056,0
20,2019-10-21,1356,1,1355.0,55,17,2.2353,1415,0,0.0,127,7,17.1429,96,20,3.8,63,12,4.25,68,5,12.6,26,3,7.6667,304,63,3.8254,1466,1,1465.0,741,20,36.05,1351,2,674.5,49,26,0.8846,20,5,3.0,125,2,61.5,21,5,3.2,30,2,14.0,339,8,41.375,886,9,97.4444,708,13,53.4615,87,9,8.6667,1507,2,752.5,336,6,55.0,0,21,1.0,65,9,6.2222,27,1,26.0,40,11,2.6364,19,4,3.75,42,6,6.0,23,4,4.75,37,1,36.0,33,14,1.3571,26,5,4.2,1348,1,1347.0,765,5,152.0,804,16,49.25,88,1,87.0,11,3,2.6667,418,20,19.9,1395,1,1394.0,455,5,90.0,501,7,70.5714,233,2,115.5,438,24,17.25,770,5,153.0,32,6,4.3333,21,11,0.9091,401,2,199.5,119,18,5.6111,3399,181,17.779,290,9,31.2222,384,3,127.0,32,18,0.7778,801,1,800.0,25,2,11.5,1431,2,714.5,0,8,1.0,1442,2,720.0,68,7,8.7143,34,3,10.3333,100,12,7.3333,825,2,411.5,642,17,36.7647,839,2,418.5,417,12,33.75,0.0,0,386020,0,30016,0
21,2019-10-22,1354,1,1353.0,55,18,2.0556,1413,0,0.0,126,8,14.75,96,22,3.3636,63,12,4.25,68,5,12.6,26,3,7.6667,304,66,3.6061,1463,1,1462.0,739,21,34.1905,1350,2,674.0,49,28,0.75,20,5,3.0,125,2,61.5,21,5,3.2,30,2,14.0,339,8,41.375,886,10,87.6,708,14,49.5714,86,10,7.6,1505,2,751.5,335,6,54.8333,0,22,1.0,65,10,5.5,27,1,26.0,40,12,2.3333,19,4,3.75,42,6,6.0,23,4,4.75,37,1,36.0,33,15,1.2,26,6,3.3333,1343,1,1342.0,763,5,151.6,802,17,46.1765,87,1,86.0,11,3,2.6667,417,21,18.8571,1393,1,1392.0,455,5,90.0,501,8,61.625,233,2,115.5,437,26,15.8077,770,5,153.0,32,6,4.3333,21,12,0.75,401,2,199.5,119,19,5.2632,4083,190,20.4895,290,10,28.0,384,3,127.0,32,19,0.6842,800,1,799.0,25,2,11.5,1430,2,714.0,0,8,1.0,1442,2,720.0,68,7,8.7143,34,3,10.3333,100,13,6.6923,825,3,274.0,642,18,34.6667,837,2,417.5,417,12,33.75,0.0,0,398048,0,30667,0
22,2019-10-23,1352,1,1351.0,55,19,1.8947,1412,0,0.0,126,8,14.75,96,23,3.1739,63,13,3.8462,68,6,10.3333,26,4,5.5,304,69,3.4058,1462,2,730.0,739,22,32.5909,1349,2,673.5,49,29,0.6897,20,5,3.0,125,2,61.5,21,6,2.5,30,2,14.0,339,9,36.6667,886,10,87.6,707,15,46.1333,85,10,7.5,1505,2,751.5,335,7,46.8571,0,23,1.0,65,10,5.5,27,2,12.5,40,12,2.3333,19,4,3.75,42,6,6.0,23,5,3.6,37,1,36.0,33,16,1.0625,26,6,3.3333,1342,1,1341.0,763,5,151.6,800,18,43.4444,87,1,86.0,11,3,2.6667,417,22,17.9545,1391,1,1390.0,455,5,90.0,500,8,61.5,232,2,115.0,437,27,15.1852,770,5,153.0,32,7,3.5714,21,12,0.75,401,2,199.5,119,20,4.95,4409,200,21.045,290,10,28.0,384,3,127.0,32,20,0.6,799,1,798.0,25,2,11.5,1428,2,713.0,0,8,1.0,1442,2,720.0,68,7,8.7143,34,3,10.3333,100,13,6.6923,823,3,273.3333,641,18,34.6111,836,3,277.6667,416,13,31.0,0.0,0,410076,0,30971,0
23,2019-10-24,1350,1,1349.0,55,20,1.75,1411,0,0.0,126,9,13.0,96,24,3.0,63,13,3.8462,68,6,10.3333,26,4,5.5,303,72,3.2083,1460,2,729.0,737,23,31.0435,1349,2,673.5,49,30,0.6333,20,5,3.0,125,2,61.5,21,6,2.5,30,2,14.0,338,9,36.5556,885,11,79.4545,705,15,46.0,85,11,6.7273,1504,2,751.0,335,7,46.8571,0,24,1.0,65,10,5.5,27,2,12.5,40,13,2.0769,19,5,2.8,42,7,5.0,23,5,3.6,37,1,36.0,33,17,0.9412,26,6,3.3333,1341,1,1340.0,762,6,126.0,800,19,41.1053,87,2,42.5,11,3,2.6667,416,23,17.087,1390,1,1389.0,455,5,90.0,500,9,54.5556,232,2,115.0,436,28,14.5714,769,6,127.1667,32,7,3.5714,20,13,0.5385,401,2,199.5,119,21,4.6667,4689,209,21.4354,290,11,25.3636,382,3,126.3333,32,21,0.5238,798,1,797.0,25,2,11.5,1427,2,712.5,0,9,1.0,1440,2,719.0,68,8,7.5,34,3,10.3333,100,14,6.1429,823,3,273.3333,640,19,32.6842,836,3,277.6667,416,14,28.7143,0.0,0,422104,0,31224,0
24,2019-10-25,1348,1,1347.0,55,21,1.619,1411,0,0.0,126,9,13.0,96,25,2.84,63,14,3.5,68,6,10.3333,26,4,5.5,301,76,2.9605,1460,2,729.0,737,25,28.48,1349,2,673.5,49,32,0.5312,20,6,2.3333,125,3,40.6667,20,6,2.3333,30,2,14.0,338,9,36.5556,885,11,79.4545,705,16,43.0625,85,11,6.7273,1503,2,750.5,335,7,46.8571,0,25,1.0,65,11,4.9091,27,2,12.5,40,13,2.0769,19,5,2.8,42,7,5.0,23,5,3.6,37,2,17.5,33,17,0.9412,25,6,3.1667,1340,1,1339.0,762,6,126.0,800,20,39.0,87,2,42.5,11,3,2.6667,416,24,16.3333,1390,2,694.0,455,6,74.8333,500,9,54.5556,232,2,115.0,436,29,14.0345,768,6,127.0,32,7,3.5714,20,14,0.4286,400,2,199.0,118,22,4.3636,4923,218,21.5826,289,11,25.2727,382,3,126.3333,32,22,0.4545,798,1,797.0,25,2,11.5,1426,2,712.0,0,9,1.0,1438,2,718.0,68,8,7.5,34,3,10.3333,100,15,5.6667,822,3,273.0,638,20,30.9,836,3,277.6667,416,14,28.7143,0.0,0,434132,0,31440,0
25,2019-10-26,1348,1,1347.0,55,22,1.5,1409,1,1408.0,126,9,13.0,95,26,2.6538,63,15,3.2,66,7,8.4286,26,4,5.5,301,79,2.8101,1459,2,728.5,737,26,27.3462,1349,3,448.6667,49,33,0.4848,20,6,2.3333,125,3,40.6667,20,7,1.8571,30,2,14.0,338,10,32.8,884,12,72.6667,705,17,40.4706,85,12,6.0833,1502,2,750.0,335,8,40.875,0,26,1.0,65,11,4.9091,27,2,12.5,40,14,1.8571,19,5,2.8,42,7,5.0,23,5,3.6,37,2,17.5,33,18,0.8333,25,7,2.5714,1340,1,1339.0,762,6,126.0,798,21,37.0,87,2,42.5,11,4,1.75,416,25,15.64,1389,2,693.5,455,6,74.8333,499,9,54.4444,232,3,76.3333,435,31,13.0323,766,6,126.6667,32,7,3.5714,20,14,0.4286,400,2,199.0,117,23,4.087,5125,227,21.5771,289,11,25.2727,382,4,94.5,32,23,0.3913,797,1,796.0,25,3,7.3333,1424,2,711.0,0,10,1.0,1436,2,717.0,68,8,7.5,34,4,7.5,100,15,5.6667,822,3,273.0,637,21,29.3333,836,3,277.6667,416,15,26.7333,0.0,0,446160,0,31620,0
26,2019-10-27,1347,1,1346.0,55,23,1.3913,1407,1,1406.0,126,10,11.6,95,27,2.5185,63,15,3.2,66,7,8.4286,26,4,5.5,300,82,2.6585,1457,2,727.5,737,27,26.2963,1347,3,448.0,49,34,0.4412,20,6,2.3333,125,3,40.6667,20,7,1.8571,30,2,14.0,338,10,32.8,883,12,72.5833,704,17,40.4118,85,12,6.0833,1500,2,749.0,334,8,40.75,0,27,1.0,65,12,4.4167,27,2,12.5,40,15,1.6667,19,5,2.8,42,8,4.25,23,6,2.8333,37,2,17.5,33,19,0.7368,25,7,2.5714,1340,1,1339.0,762,7,107.8571,796,22,35.1818,87,2,42.5,11,4,1.75,415,26,14.9615,1388,2,693.0,455,6,74.8333,499,10,48.9,232,3,76.3333,433,32,12.5312,766,7,108.4286,32,8,3.0,20,15,0.3333,400,3,132.3333,117,24,3.875,5273,236,21.3432,289,12,23.0833,382,4,94.5,32,23,0.3913,796,1,795.0,25,3,7.3333,1423,2,710.5,0,10,1.0,1435,2,716.5,68,9,6.5556,34,4,7.5,99,16,5.1875,821,3,272.6667,637,22,27.9545,835,3,277.3333,416,15,26.7333,0.0,0,458188,0,31743,0
27,2019-10-28,1347,1,1346.0,55,24,1.2917,1406,1,1405.0,126,10,11.6,95,28,2.3929,63,16,2.9375,66,7,8.4286,26,4,5.5,300,85,2.5294,1456,2,727.0,737,28,25.3214,1347,3,448.0,49,36,0.3611,20,7,1.8571,125,3,40.6667,20,7,1.8571,30,2,14.0,338,11,29.7273,880,13,66.6923,704,18,38.1111,85,13,5.5385,1497,2,747.5,333,8,40.625,0,28,1.0,65,12,4.4167,27,2,12.5,40,15,1.6667,19,5,2.8,42,8,4.25,23,6,2.8333,37,2,17.5,33,20,0.65,24,7,2.4286,1337,1,1336.0,762,7,107.8571,795,22,35.1364,87,2,42.5,11,4,1.75,415,27,14.3704,1388,2,693.0,454,6,74.6667,499,10,48.9,232,3,76.3333,433,33,12.1212,765,7,108.2857,32,8,3.0,20,15,0.3333,399,3,132.0,117,25,3.68,5431,245,21.1673,289,12,23.0833,382,4,94.5,32,24,0.3333,796,1,795.0,25,3,7.3333,1422,3,473.0,0,10,1.0,1432,2,715.0,68,9,6.5556,34,4,7.5,99,16,5.1875,820,3,272.3333,636,23,26.6522,834,3,277.0,415,16,24.9375,0.0,0,470216,0,31876,0
28,2019-10-29,1344,1,1343.0,55,25,1.2,1406,1,1405.0,126,11,10.4545,95,29,2.2759,63,16,2.9375,66,7,8.4286,26,5,4.2,300,88,2.4091,1455,2,726.5,736,29,24.3793,1344,3,447.0,49,37,0.3243,20,7,1.8571,125,3,40.6667,20,7,1.8571,29,2,13.5,337,11,29.6364,880,13,66.6923,704,19,36.0526,85,13,5.5385,1495,3,497.3333,332,9,35.8889,0,29,1.0,65,13,4.0,27,2,12.5,40,16,1.5,19,6,2.1667,42,8,4.25,23,6,2.8333,37,2,17.5,33,20,0.65,24,8,2.0,1333,1,1332.0,761,7,107.7143,795,23,33.5652,87,2,42.5,11,4,1.75,414,28,13.7857,1386,2,692.0,454,7,63.8571,499,11,44.3636,232,3,76.3333,432,34,11.7059,764,7,108.1429,32,8,3.0,20,16,0.25,399,3,132.0,117,26,3.5,5515,254,20.7126,287,13,21.0769,381,4,94.25,32,25,0.28,796,1,795.0,25,3,7.3333,1421,3,472.6667,0,11,1.0,1432,2,715.0,68,9,6.5556,34,4,7.5,99,17,4.8235,820,4,204.0,635,24,25.4583,833,3,276.6667,414,17,23.3529,0.0,0,482244,0,31930,0
29,2019-10-30,1343,1,1342.0,55,25,1.2,1404,1,1403.0,126,11,10.4545,95,30,2.1667,63,17,2.7059,66,8,7.25,26,5,4.2,298,91,2.2747,1453,2,725.5,735,30,23.5,1344,3,447.0,49,38,0.2895,20,7,1.8571,125,3,40.6667,20,8,1.5,29,3,8.6667,337,11,29.6364,880,14,61.8571,702,19,35.9474,85,14,5.0714,1493,3,496.6667,331,9,35.7778,0,30,1.0,65,13,4.0,27,2,12.5,40,16,1.5,19,6,2.1667,42,9,3.6667,23,6,2.8333,36,2,17.0,33,21,0.5714,24,8,2.0,1331,1,1330.0,760,7,107.5714,794,24,32.0833,87,2,42.5,11,4,1.75,413,29,13.2414,1386,2,692.0,453,7,63.7143,499,11,44.3636,232,3,76.3333,432,36,11.0,764,7,108.1429,32,9,2.5556,20,16,0.25,399,3,132.0,117,27,3.3333,5673,263,20.5703,287,13,21.0769,381,4,94.25,32,26,0.2308,796,2,397.0,25,3,7.3333,1418,3,471.6667,0,11,1.0,1429,3,475.3333,68,10,5.8,34,4,7.5,99,18,4.5,819,4,203.75,635,24,25.4583,831,4,206.75,414,17,23.3529,0.0,0,494272,0,32059,0
