#name,region,country,latitude,longitude,location_type,conflict_date,population,fatalities,initial_idps,first_event_date,conflict_score,original_camps
Nsit Ibom,Akwa Ibom,Nigeria,4.9036345,7.896614,town,0,137900,0,4,,0.04,
Nsit Ubium,Akwa Ibom,Nigeria,4.7597313,7.9487236,town,0,162200,0,5,,0.05,
Obot Akara,Akwa Ibom,Nigeria,5.243455,7.6006957,town,0,188000,0,6,,0.06,
Okobo,Akwa Ibom,Nigeria,4.8136649,8.1239681,town,0,131100,0,4,,0.04,
Onna,Akwa Ibom,Nigeria,4.6367584,7.8723707,town,0,157200,0,5,,0.05,
Oron,Akwa Ibom,Nigeria,4.8169432,8.2369999,conflict_zone,3,111300,1,10,10/09/2022,0.1,
Oruk Anam,Akwa Ibom,Nigeria,4.820235,7.6508147,town,0,219300,0,8,,0.08,
Udung Uko,Akwa Ibom,Nigeria,4.7505095,8.2631939,conflict_zone,1,67700,2,6,27/03/2023,0.06,
Ukanafun,Akwa Ibom,Nigeria,4.9038458,7.6055028,conflict_zone,1,160100,0,15,29/11/2022,0.15,
Uruan,Akwa Ibom,Nigeria,5.0038805,8.0774824,town,0,149500,0,5,,0.05,
Urue-Offong/Oruko,Akwa Ibom,Nigeria,4.7223909,8.1688014,town,0,90300,0,2,,0.02,
Uyo,Akwa Ibom,Nigeria,4.990237,7.9974399,conflict_zone,18,390400,6,39,06/08/2022,0.39,
Aguata,Anambra,Nigeria,5.9842248,7.0906432,conflict_zone,1,527200,0,53,13/08/2022,0.53,
Anambra East,Anambra,Nigeria,6.3146982,6.8929567,town,0,216800,0,8,,0.08,
Anambra West,Anambra,Nigeria,6.4925694,6.7765786,town,0,238400,0,8,,0.08,
Anaocha,Anambra,Nigeria,6.0922999,7.0211714,town,0,405000,0,15,,0.15,
Awka North,Anambra,Nigeria,6.3417876,7.0583437,town,0,159900,0,5,,0.05,
Awka South,Anambra,Nigeria,6.1940561,7.0943469,town,0,270300,0,10,,0.1,
Ayamelum,Anambra,Nigeria,6.5346229,6.9747974,town,0,225400,0,8,,0.08,
Dunukofia,Anambra,Nigeria,6.2738049,6.9780011,town,0,137500,0,4,,0.04,
Ekwusigo,Anambra,Nigeria,5.9883647,6.8402004,conflict_zone,1,225800,1,22,12/10/2022,0.22,
Idemili North,Anambra,Nigeria,6.1371462,6.8856971,town,0,614200,0,24,,0.24,
Idemili South,Anambra,Nigeria,6.0722537,6.8332372,town,0,294700,0,11,,0.11,
Ihiala,Anambra,Nigeria,5.8443234,6.8732874,conflict_zone,12,430800,11,43,03/10/2022,0.43,
Njikoka,Anambra,Nigeria,6.1892624,6.9937842,town,0,211500,0,7,,0.07,
Nnewi North,Anambra,Nigeria,6.006232,6.9120158,town,0,221500,0,8,,0.08,
Nnewi South,Anambra,Nigeria,5.9604744,6.9807066,town,0,332500,0,12,,0.12,
Ogbaru,Anambra,Nigeria,5.9212864,6.7609969,town,0,318200,0,12,,0.12,
Onitsha North,Anambra,Nigeria,6.1506953,6.8028548,town,0,179400,0,6,,0.06,
Onitsha South,Anambra,Nigeria,6.1393648,6.773247,town,0,195500,0,7,,0.07,
Orumba North,Anambra,Nigeria,6.1134022,7.1625696,town,0,246200,0,9,,0.09,
Orumba South,Anambra,Nigeria,5.9892248,7.2049199,town,0,263000,0,9,,0.09,
Oyi,Anambra,Nigeria,6.2395957,6.907348,town,0,239700,0,9,,0.09,
Alkaleri,Bauchi,Nigeria,9.896816,10.4308366,conflict_zone,3,586200,24,384,19/12/2022,0.59,
Bauchi,Bauchi,Nigeria,10.6228284,10.0287754,conflict_zone,15,881600,7,2806,30/08/2022,0.89,
Bogoro,Bauchi,Nigeria,9.6369083,9.6200272,conflict_zone,1,149700,1,397,15/04/2023,0.14,
Damban,Bauchi,Nigeria,11.617606,10.7666868,town,0,268200,0,826,,0.1,
Darazo,Bauchi,Nigeria,11.1188755,10.5562017,town,0,446300,0,696,,0.17,
Dass,Bauchi,Nigeria,10.0114079,9.4718203,town,0,160900,0,504,,0.05,
Gamawa,Bauchi,Nigeria,12.014595,10.5934781,town,0,507900,0,699,,0.19,
Ganjuwa,Bauchi,Nigeria,10.7493609,9.9899566,town,0,497300,0,200,,0.19,
Giade,Bauchi,Nigeria,11.4165826,10.2346898,town,0,278600,0,744,,0.1,
Itas/Gadau,Bauchi,Nigeria,11.877064,10.0445349,town,0,408100,0,540,,0.15,
Jama'Are,Bauchi,Nigeria,11.6515401,9.8885184,town,0,209800,0,1307,,0.07,
Katagum,Bauchi,Nigeria,11.6557328,10.3503719,town,0,523200,0,1527,,0.2,
Kirfi,Bauchi,Nigeria,10.4393765,10.5360929,town,0,260100,0,480,,0.09,
Misau,Bauchi,Nigeria,11.3861193,10.4685521,town,0,466800,0,829,,0.18,
Ningi,Bauchi,Nigeria,11.0046287,9.2016788,conflict_zone,12,689300,8,758,25/08/2022,0.69,
Shira,Bauchi,Nigeria,11.4648844,10.0629941,town,0,417800,0,535,,0.16,
Tafawa-Balewa,Bauchi,Nigeria,9.8441524,9.5933061,conflict_zone,2,395200,4,2417,21/01/2023,0.39,
Toro,Bauchi,Nigeria,10.3502951,9.328662,conflict_zone,2,617800,2,3335,04/11/2022,0.62,
Warji,Bauchi,Nigeria,11.1465091,9.7588179,town,0,205300,0,230,,0.07,
Zaki,Bauchi,Nigeria,12.187466,10.2448206,town,0,338700,0,390,,0.13,
Brass,Bayelsa,Nigeria,4.5121961,6.4818845,town,0,274100,0,10,,0.1,
Ekeremor,Bayelsa,Nigeria,4.9440156,5.710206,conflict_zone,1,401300,3,40,28/10/2022,0.4,
Kolokuma/Opokuma,Bayelsa,Nigeria,5.0663759,6.2461084,town,0,118000,0,4,,0.04,
Nembe,Bayelsa,Nigeria,4.5154824,6.2831826,conflict_zone,3,195000,3,19,17/08/2022,0.19,
Ogbia,Bayelsa,Nigeria,4.7957444,6.3138193,conflict_zone,1,267400,0,26,26/06/2023,0.26,
Sagbama,Bayelsa,Nigeria,5.0969489,6.1267442,conflict_zone,1,278200,0,27,25/02/2023,0.27,
Southern Ijaw,Bayelsa,Nigeria,4.7132198,5.8767913,town,0,479000,0,18,,0.18,
Yenagoa,Bayelsa,Nigeria,4.9334651,6.2747786,conflict_zone,19,524400,7,52,11/08/2022,0.52,
Ado,Benue,Nigeria,7.802282,7.6482445,town,0,266200,0,6158,,0.1,
Agatu,Benue,Nigeria,7.8731757,7.8796916,town,0,166900,0,12806,,0.06,
Apa,Benue,Nigeria,7.6006341,7.8852036,town,0,139700,0,912,,0.04,
Buruku,Benue,Nigeria,7.4191966,9.2137482,conflict_zone,4,297700,5,9133,29/08/2022,0.29,
Gboko,Benue,Nigeria,7.3778482,8.8713224,conflict_zone,10,521700,12,216,03/09/2022,0.52,
Guma,Benue,Nigeria,7.8682914,8.8286537,town,0,280300,0,36142,,0.1,
Gwer East,Benue,Nigeria,7.378217,8.3527425,town,0,243500,0,9,,0.09,
Gwer West,Benue,Nigeria,7.6210446,8.206342,town,0,176600,0,93144,,0.06,
Katsina-Ala,Benue,Nigeria,7.3157084,9.5663631,conflict_zone,1,325500,5,5514,09/11/2022,0.32,
Konshisha,Benue,Nigeria,7.1204698,8.6180473,town,0,327000,0,5700,,0.12,
Kwande,Benue,Nigeria,6.8549397,9.3998035,conflict_zone,4,359000,50,4952,03/03/2023,0.36,
Logo,Benue,Nigeria,7.6671712,9.2074676,town,0,244800,0,11113,,0.09,
Makurdi,Benue,Nigeria,7.7312634,8.538425,conflict_zone,13,433700,11,11022,31/08/2022,0.43,
Obi,Benue,Nigeria,7.0439804,8.3038379,conflict_zone,1,142500,2,2708,21/10/2022,0.13,
Ogbadibo,Benue,Nigeria,7.008833,7.6456569,town,0,189100,0,6,,0.06,
Ohimini,Benue,Nigeria,7.2502553,7.9572672,town,0,102100,0,3,,0.03,
Oju,Benue,Nigeria,6.8701551,8.3636442,town,0,243300,0,7310,,0.09,
Okpokwu,Benue,Nigeria,7.0453758,7.9101002,town,0,253500,0,9,,0.09,
Oturkpo,Benue,Nigeria,7.1912599,8.1328576,conflict_zone,8,384600,2,654,03/08/2022,0.38,
Tarka,Benue,Nigeria,7.6149052,8.823735,town,0,114500,0,1540,,0.03,
Ukum,Benue,Nigeria,7.6077266,9.6059233,town,0,313300,0,7566,,0.12,
Ushongo,Benue,Nigeria,7.1040666,9.097224,town,0,277100,0,1327,,0.1,
Vandeikya,Benue,Nigeria,6.8334444,9.0458344,town,0,338700,0,1254,,0.13,
Abadam,Borno,Nigeria,13.3704259,13.2681609,conflict_zone,5,146600,53,3025,20/08/2022,0.14,
Askira/Uba,Borno,Nigeria,10.7251526,13.1565189,town,0,210000,0,3012,,0.07,
Bama,Borno,Nigeria,11.5234506,13.6912049,conflict_zone,50,395800,570,91913,02/08/2022,0.41,
Bayo,Borno,Nigeria,10.452489,11.6827984,conflict_zone,2,115900,9,282,30/11/2022,0.11,
Biu,Borno,Nigeria,10.6146098,12.1909612,conflict_zone,6,257500,7,12552,17/10/2022,0.25,
Chibok,Borno,Nigeria,10.8690461,12.8480309,conflict_zone,1,97200,2,2774,02/06/2023,0.09,
Damboa,Borno,Nigeria,11.0793105,12.6688633,conflict_zone,25,341700,100,37091,17/09/2022,0.34,
Dikwa,Borno,Nigeria,11.9443016,14.0711604,conflict_zone,5,153900,11,75920,15/09/2022,0.14,
Gubio,Borno,Nigeria,12.6718417,12.7756347,conflict_zone,2,221700,3,25756,24/09/2022,0.21,
Guzamala,Borno,Nigeria,12.8640065,13.2508969,town,0,140600,0,4,,0.04,
Gwoza,Borno,Nigeria,11.0831008,13.6941974,conflict_zone,21,405200,183,38581,03/08/2022,0.41,
Hawul,Borno,Nigeria,10.4545467,12.3077703,town,0,176900,0,9077,,0.06,
Jere,Borno,Nigeria,11.9360744,13.1816703,conflict_zone,3,306400,48,101214,17/09/2022,0.3,
Kaga,Borno,Nigeria,11.6008803,12.5301876,town,0,131900,0,12982,,0.04,
Kala/Balge,Borno,Nigeria,11.906762,14.4562539,town,0,89100,0,39536,,0.02,
Konduga,Borno,Nigeria,11.6327538,13.1840692,conflict_zone,24,230500,298,26938,20/11/2022,0.23,
Kukawa,Borno,Nigeria,13.1239109,13.7775223,conflict_zone,4,297900,64,7152,06/02/2023,0.29,
Kwaya Kusar,Borno,Nigeria,10.4857449,11.8543195,conflict_zone,1,83100,3,1871,07/06/2023,0.07,
Mafa,Borno,Nigeria,11.9239025,13.6002436,conflict_zone,22,151800,102,33140,17/08/2022,0.15,
Magumeri,Borno,Nigeria,12.1432355,12.6629372,conflict_zone,3,205500,2,10410,03/08/2022,0.2,
Maiduguri,Borno,Nigeria,11.8395375,13.1536214,conflict_zone,46,791200,59,59761,03/08/2022,0.8,
Marte,Borno,Nigeria,12.4029201,13.8326386,conflict_zone,16,189600,218,4130,02/08/2022,0.19,
Mobbar,Borno,Nigeria,13.0669035,12.6776969,town,0,170900,0,26555,,0.06,
Monguno,Borno,Nigeria,12.6534453,13.6856712,conflict_zone,22,160900,62,118480,03/08/2022,0.15,
Ngala,Borno,Nigeria,12.3758114,14.0852342,conflict_zone,5,346500,30,81136,16/08/2022,0.34,
Nganzai,Borno,Nigeria,12.4493445,13.1252411,town,0,145200,0,51927,,0.05,
Shani,Borno,Nigeria,10.151198,11.9796686,conflict_zone,2,148000,7,677,04/08/2022,0.14,
Abi,Cross River,Nigeria,5.8866834,8.0328711,town,0,219800,0,8,,0.08,
Akamkpa,Cross River,Nigeria,5.389646,8.5446556,town,0,228000,0,8,,0.08,
Akpabuyo,Cross River,Nigeria,4.8956343,8.4803881,town,0,414700,0,16,,0.16,
Bekwara,Cross River,Nigeria,6.72487,8.93511,town,0,160700,0,5,,0.05,
Biase,Cross River,Nigeria,5.547368,8.0520267,town,0,256000,0,9,,0.09,
Boki,Cross River,Nigeria,6.2680356,9.0290841,town,0,284200,0,10,,0.1,
Calabar Municipal,Cross River,Nigeria,5.0153885,8.346658,town,0,279800,0,10,,0.1,
Calabar South,Cross River,Nigeria,4.8527025,8.3207315,town,0,291700,0,11,,0.11,
Etung,Cross River,Nigeria,5.8739933,8.8076153,town,0,121900,0,4,,0.04,
Ikom,Cross River,Nigeria,5.962765,8.7239694,conflict_zone,3,249300,0,24,18/11/2022,0.24,
Obanliku,Cross River,Nigeria,6.4864846,9.2946334,town,0,167000,0,6,,0.06,
Obubra,Cross River,Nigeria,6.015311,8.4146667,town,0,262800,0,9,,0.09,
Obudu,Cross River,Nigeria,6.5583976,9.0532889,conflict_zone,1,245900,2,24,03/10/2022,0.24,
Odukpani,Cross River,Nigeria,5.1865544,8.1975491,conflict_zone,1,293800,0,29,10/08/2022,0.29,
Ogoja,Cross River,Nigeria,6.5278029,8.6878448,conflict_zone,4,261300,0,25,21/12/2022,0.25,
Yakurr,Cross River,Nigeria,5.8176086,8.1779057,town,0,298900,0,11,,0.11,
Yala,Cross River,Nigeria,6.5895924,8.495931,town,0,322200,0,12,,0.12,
Aniocha North,Delta,Nigeria,6.3679941,6.4702804,town,0,142600,0,5,,0.05,
Aniocha South,Delta,Nigeria,6.1419725,6.4773901,town,0,194700,0,7,,0.07,
Bomadi,Delta,Nigeria,5.2255299,5.8097295,town,0,117900,0,4,,0.04,
Burutu,Delta,Nigeria,5.3522824,5.5079208,conflict_zone,1,285000,0,28,30/04/2023,0.28,
Ethiope East,Delta,Nigeria,5.6672926,5.9721297,town,0,275400,0,10,,0.1,
Ethiope West,Delta,Nigeria,5.9113228,5.7758592,town,0,277800,0,10,,0.1,
Ika North East,Delta,Nigeria,6.2361939,6.320777,town,0,250600,0,9,,0.09,
Ika South,Delta,Nigeria,6.1849053,6.1380809,town,0,229000,0,8,,0.08,
Isoko North,Delta,Nigeria,5.5213421,6.1308705,town,0,196700,0,7,,0.07,
Isoko South,Delta,Nigeria,5.3895204,6.2110496,town,0,322300,0,12,,0.12,
Ndokwa East,Delta,Nigeria,5.6582752,6.4961408,town,0,141500,0,5,,0.05,
Ndokwa West,Delta,Nigeria,5.8260994,6.4163551,town,0,205600,0,7,,0.07,
Okpe,Delta,Nigeria,5.7004104,5.7518793,conflict_zone,1,176000,0,17,25/02/2023,0.17,
Oshimili North,Delta,Nigeria,6.30333,6.6477729,town,0,162500,0,5,,0.05,
Oshimili South,Delta,Nigeria,6.1303621,6.7307334,town,0,205600,0,7,,0.07,
Patani,Delta,Nigeria,5.1745322,6.0940441,town,0,92400,0,2,,0.02,
Sapele,Delta,Nigeria,5.8948144,5.6795885,conflict_zone,7,238800,6,23,02/09/2022,0.23,
Udu,Delta,Nigeria,5.477352,5.821686,town,0,195300,0,7,,0.07,
Ughelli North,Delta,Nigeria,5.4868836,6.0175259,town,0,439500,0,17,,0.17,
Ughelli South,Delta,Nigeria,5.3602094,5.9677787,town,0,291400,0,11,,0.11,
Ukwuani,Delta,Nigeria,5.84944,6.2520583,town,0,163100,0,5,,0.05,
Uvwie,Delta,Nigeria,5.565031,5.7857393,town,0,258700,0,9,,0.09,
Warri North,Delta,Nigeria,5.9235305,5.1348618,town,0,186600,0,6,,0.06,
Warri South,Delta,Nigeria,5.626158,5.6514533,town,0,427600,0,16,,0.16,
Warri South West,Delta,Nigeria,5.6042277,5.3230331,town,0,159700,0,5,,0.05,
Abakaliki,Ebonyi,Nigeria,6.3208897,8.1133202,conflict_zone,19,223000,9,22,16/08/2022,0.22,
Afikpo North,Ebonyi,Nigeria,5.860247,7.9184712,town,0,233300,0,8,,0.08,
Afikpo South,Ebonyi,Nigeria,5.8274591,7.7839142,town,0,234700,0,8,,0.08,
Ebonyi,Ebonyi,Nigeria,6.1996918,8.0348906,town,0,189500,0,6,,0.06,
Ezza North,Ebonyi,Nigeria,6.2590742,7.9835226,town,0,217700,0,8,,0.08,
Ezza South,Ebonyi,Nigeria,6.1269331,8.021691,town,0,199000,0,7,,0.07,
Ikwo,Ebonyi,Nigeria,6.0830204,8.1856299,conflict_zone,1,320200,3,31,18/11/2022,0.31,
Ishielu,Ebonyi,Nigeria,6.4270885,7.8441149,conflict_zone,1,227300,4,22,19/12/2022,0.22,
Ivo,Ebonyi,Nigeria,5.9093492,7.637395,town,0,180800,0,6,,0.06,
Izzi,Ebonyi,Nigeria,6.5523734,8.2718633,town,0,352500,0,13,,0.13,
Ohaozara,Ebonyi,Nigeria,6.0045553,7.7938501,town,0,220900,0,8,,0.08,
Ohaukwu,Ebonyi,Nigeria,6.5240374,8.0108481,town,0,291300,0,11,,0.11,
Onicha,Ebonyi,Nigeria,6.1085424,7.8142408,conflict_zone,4,352400,2,35,17/10/2022,0.35,
Akoko-Edo,Edo,Nigeria,7.3523936,6.1252351,town,0,386400,0,15,,0.15,
Egor,Edo,Nigeria,6.3438384,5.5615668,town,0,502700,0,19,,0.19,
Esan Central,Edo,Nigeria,6.7047055,6.2079259,town,0,155500,0,5,,0.05,
Esan North East,Edo,Nigeria,6.7867315,6.4334884,town,0,180200,0,6,,0.06,
Esan South East,Edo,Nigeria,6.576807,6.4860838,town,0,245700,0,9,,0.09,
Esan West,Edo,Nigeria,6.654649,6.1396625,town,0,188700,0,6,,0.06,
Etsako Central,Edo,Nigeria,6.978096,6.5157761,town,0,139200,0,4,,0.04,
Etsako East,Edo,Nigeria,7.1872207,6.5169123,town,0,217700,0,8,,0.08,
Etsako West,Edo,Nigeria,6.9969282,6.3018014,town,0,294000,0,11,,0.11,
Igueben,Edo,Nigeria,6.6018648,6.242448,conflict_zone,1,103800,0,9,07/01/2023,0.09,
Ikpoba-Okha,Edo,Nigeria,6.1997654,5.6622467,town,0,549700,0,21,,0.21,
Oredo,Edo,Nigeria,6.2297631,5.5617902,town,0,553300,0,21,,0.21,
Orhionmwon,Edo,Nigeria,6.0884175,5.9483601,town,0,271800,0,10,,0.1,
Ovia North East,Edo,Nigeria,6.3963337,5.5028263,town,0,229500,0,8,,0.08,
Ovia South West,Edo,Nigeria,6.4709534,5.2991591,town,0,204000,0,7,,0.07,
Owan East,Edo,Nigeria,7.0306056,6.1056297,town,0,228500,0,8,,0.08,
Owan West,Edo,Nigeria,6.9274464,5.8934672,town,0,146300,0,5,,0.05,
Uhunmwonde,Edo,Nigeria,6.5259361,5.9000732,town,0,179900,0,6,,0.06,
Ado Ekiti,Ekiti,Nigeria,7.6232482,5.22274,town,0,469700,0,18,,0.18,
Gbonyin,Ekiti,Nigeria,7.60653,5.49894,town,0,221600,0,8,,0.08,
Efon,Ekiti,Nigeria,7.366667,3.633333,town,0,130600,0,4,,0.04,
Ekiti East,Ekiti,Nigeria,7.7208094,5.6597767,town,0,207100,0,7,,0.07,
Ekiti South West,Ekiti,Nigeria,7.5234638,5.0333579,town,0,247200,0,9,,0.09,
Ekiti West,Ekiti,Nigeria,7.7210934,5.034239,town,0,268900,0,10,,0.1,
Emure,Ekiti,Nigeria,7.4293752,5.5129244,town,0,141200,0,4,,0.04,
Ido-Osi,Ekiti,Nigeria,7.8633482,5.1969435,town,0,239600,0,9,,0.09,
Ijero,Ekiti,Nigeria,7.8317358,5.0583553,town,0,332200,0,12,,0.12,
Ikere,Ekiti,Nigeria,7.5135717,5.2202759,conflict_zone,1,222400,0,21,15/05/2023,0.21,
Ikole,Ekiti,Nigeria,7.8831532,5.5156487,town,0,255200,0,9,,0.09,
Ilejemeje,Ekiti,Nigeria,7.9601532,5.2306135,town,0,65100,0,1,,0.01,
Irepodun/Ifelodun,Ekiti,Nigeria,7.706224,5.2644602,town,0,196700,0,7,,0.07,
Ise/Orun,Ekiti,Nigeria,7.4205606,5.384951,town,0,170600,0,6,,0.06,
Moba,Ekiti,Nigeria,7.9928836,5.131158,town,0,217700,0,8,,0.08,
Oye,Ekiti,Nigeria,7.8805359,5.3375344,conflict_zone,1,206300,0,20,23/11/2022,0.2,
Aninri,Enugu,Nigeria,6.0679259,7.5971085,town,0,195500,0,7,,0.07,
Awgu,Enugu,Nigeria,6.1731327,7.4512478,conflict_zone,6,283200,3,28,04/09/2022,0.28,
Enugu East,Enugu,Nigeria,6.5483445,7.5568359,town,0,397700,0,15,,0.15,
Enugu North,Enugu,Nigeria,6.4410785,7.5383207,town,0,347500,0,13,,0.13,
Enugu South,Enugu,Nigeria,6.4001343,7.5143904,town,0,284200,0,10,,0.1,
Ezeagu,Enugu,Nigeria,6.4170554,7.2379601,town,0,244900,0,9,,0.09,
Igbo-Etiti,Enugu,Nigeria,6.6889069,7.4059266,town,0,299000,0,11,,0.11,
Igbo-Eze North,Enugu,Nigeria,7.0047968,7.4594853,town,0,371500,0,14,,0.14,
Igbo-Eze South,Enugu,Nigeria,6.9519151,7.3499866,town,0,211500,0,7,,0.07,
Isi-Uzo,Enugu,Nigeria,6.7418618,7.6809367,town,0,213300,0,7,,0.07,
Nkanu East,Enugu,Nigeria,6.3371067,7.6610906,town,0,220400,0,8,,0.08,
Nkanu West,Enugu,Nigeria,6.3215568,7.5208351,town,0,211500,0,7,,0.07,
Nsukka,Enugu,Nigeria,6.8561,7.3927,conflict_zone,7,444100,0,44,27/10/2022,0.44,
Oji-River,Enugu,Nigeria,6.1654933,7.3030229,town,0,184800,0,6,,0.06,
Udenu,Enugu,Nigeria,6.8958275,7.5608051,town,0,256500,0,9,,0.09,
Udi,Enugu,Nigeria,6.4361489,7.3987364,town,0,342000,0,13,,0.13,
Uzo-Uwani,Enugu,Nigeria,6.6896644,7.1623308,town,0,182500,0,6,,0.06,
Abaji,Enugu,Nigeria,8.8678966,6.8281816,conflict_zone,5,127900,3,12,28/09/2022,0.12,
Abuja Municipal Area Council,Enugu,Nigeria,9.0643305,7.4892974,town,0,1693400,0,68,,0.68,
Bwari,Enugu,Nigeria,9.2357478,7.4718746,conflict_zone,3,500100,2,50,25/02/2023,0.5,
Gwagwalada,Enugu,Nigeria,9.079515,7.0441131,conflict_zone,6,346000,3,34,06/10/2022,0.34,
Kuje,Enugu,Nigeria,8.6984415,7.3004993,conflict_zone,1,212100,0,20,29/08/2022,0.2,
